Date,Prev_Close,Open,High,Low,Close,VWAP,Volume,Turnover,Deliverable_Volume,Perc_Deliverable
13-03-2007,1374.2,1384.4,1510,1352,1493.9,1445.66,2143786,3.10E+14,240307,0.1121
14-03-2007,1493.9,1450,1475,1411,1436.45,1445.01,1446767,2.09E+14,208327,0.144
15-03-2007,1436.45,1461.1,1524,1444.95,1455.3,1491.96,1021797,1.52E+14,129260,0.1265
16-03-2007,1455.3,1460,1480,1411.3,1437.45,1439.34,649463,9.35E+13,73003,0.1124
19-03-2007,1437.45,1450,1475,1437,1448.25,1454.68,506940,7.37E+13,84496,0.1667
20-03-2007,1448.25,1458.9,1478.7,1425.3,1438.8,1455.27,366562,5.33E+13,66587,0.1817
21-03-2007,1438.8,1445,1464.5,1430,1444.1,1445.66,362927,5.25E+13,56262,0.155
22-03-2007,1444.1,1466.1,1499,1465.35,1481.75,1482.96,592838,8.79E+13,111350,0.1878
23-03-2007,1481.75,1490,1494.5,1465.5,1475.45,1477.98,310648,4.59E+13,56698,0.1825
26-03-2007,1475.45,1482,1502.7,1465,1471.25,1484.06,373228,5.54E+13,46728,0.1252
28-03-2007,1471.25,1470,1470,1424,1430.75,1443.89,247343,3.57E+13,73612,0.2976
29-03-2007,1430.75,1440.05,1443,1420,1430,1431.26,188835,2.70E+13,33993,0.18
30-03-2007,1430,1440,1462,1418.05,1427.1,1443.7,257916,3.72E+13,51831,0.201
02-04-2007,1427.1,1400,1402,1329,1341,1363.71,304979,4.16E+13,101858,0.334
03-04-2007,1341,1355,1362,1331.05,1342.85,1344.62,297119,4.00E+13,47145,0.1587
04-04-2007,1342.85,1364,1385,1355,1371.9,1373.1,343625,4.72E+13,49046,0.1427
05-04-2007,1371.9,1380.2,1395,1355.2,1376,1370.09,170121,2.33E+13,41604,0.2446
09-04-2007,1376,1385,1428.7,1385,1414.9,1415.29,356062,5.04E+13,59602,0.1674
10-04-2007,1414.9,1420,1429,1383,1399,1404.71,225830,3.17E+13,50008,0.2214
11-04-2007,1399,1410,1418,1391,1396.7,1404.24,132149,1.86E+13,26673,0.2018
12-04-2007,1396.7,1385,1428,1371.95,1407.95,1405.26,416238,5.85E+13,39379,0.0946
13-04-2007,1407.95,1424,1507.75,1420,1494.5,1475.6,971277,1.43E+14,215409,0.2218
